question,red,blue,green,yellow,correct
Who was the 1st President of the United States?,John Adams,George Washington,Thomas Jefferson,James Madison,blue
Who was the 2nd President of the United States?,Thomas Jefferson,John Adams,James Madison,George Washington,yellow
Who was the 3rd President of the United States?,James Madison,Thomas Jefferson,John Adams,James Monroe,blue
Who was the 4th President of the United States?,James Monroe,James Madison,John Quincy Adams,Thomas Jefferson,blue
Who was the 5th President of the United States?,James Monroe,Andrew Jackson,John Quincy Adams,James Madison,green
Who was the 6th President of the United States?,Andrew Jackson,James Monroe,John Quincy Adams,Martin Van Buren,green
Who was the 7th President of the United States?,Martin Van Buren,Andrew Jackson,John Tyler,James K. Polk,blue
Who was the 8th President of the United States?,Andrew Jackson,Martin Van Buren,James K. Polk,John Tyler,blue
Who was the 9th President of the United States?,William Henry Harrison,John Tyler,James K. Polk,Millard Fillmore,red
Who was the 10th President of the United States?,Millard Fillmore,James K. Polk,John Tyler,Zachary Taylor,blue
Who was the 11th President of the United States?,Zachary Taylor,Millard Fillmore,Franklin Pierce,James Buchanan,green
Who was the 12th President of the United States?,James Buchanan,Franklin Pierce,Millard Fillmore,Abraham Lincoln,blue
Who was the 13th President of the United States?,Abraham Lincoln,Franklin Pierce,James Buchanan,Andrew Johnson,blue
Who was the 14th President of the United States?,Andrew Johnson,Ulysses S. Grant,Abraham Lincoln,James Buchanan,red
Who was the 15th President of the United States?,Ulysses S. Grant,Andrew Johnson,Rutherford B. Hayes,James Garfield,green
Who was the 16th President of the United States?,Abraham Lincoln,Andrew Johnson,Ulysses S. Grant,James Buchanan,red
Who was the 17th President of the United States?,Andrew Johnson,Ulysses S. Grant,Rutherford B. Hayes,James Garfield,red
Who was the 18th President of the United States?,Ulysses S. Grant,Rutherford B. Hayes,James Garfield,Grover Cleveland,blue
Who was the 19th President of the United States?,Rutherford B. Hayes,James Garfield,Grover Cleveland,Benjamin Harrison,red
Who was the 20th President of the United States?,James Garfield,Grover Cleveland,Benjamin Harrison,Chester A. Arthur,red
Who was the 21st President of the United States?,Chester A. Arthur,Grover Cleveland,Benjamin Harrison,James Garfield,red
Who was the 22nd President of the United States?,Benjamin Harrison,Grover Cleveland,Chester A. Arthur,William McKinley,blue
Who was the 23rd President of the United States?,Benjamin Harrison,Grover Cleveland,William McKinley,Theodore Roosevelt,blue
Who was the 24th President of the United States?,William McKinley,Grover Cleveland,Theodore Roosevelt,Benjamin Harrison,blue
Who was the 25th President of the United States?,Theodore Roosevelt,William McKinley,William Howard Taft,Woodrow Wilson,red
Who was the 26th President of the United States?,William Howard Taft,Woodrow Wilson,Theodore Roosevelt,William McKinley,green
Who was the 27th President of the United States?,Woodrow Wilson,William Howard Taft,Warren G. Harding,Calvin Coolidge,red
Who was the 28th President of the United States?,Warren G. Harding,Calvin Coolidge,Woodrow Wilson,Herbert Hoover,green
Who was the 29th President of the United States?,Calvin Coolidge,Herbert Hoover,Warren G. Harding,Franklin D. Roosevelt,red
Who was the 30th President of the United States?,Herbert Hoover,Calvin Coolidge,Franklin D. Roosevelt,Harry S. Truman,red
Who was the 31st President of the United States?,Franklin D. Roosevelt,Herbert Hoover,Harry S. Truman,Dwight D. Eisenhower,red
Who was the 32nd President of the United States?,Harry S. Truman,Dwight D. Eisenhower,John F. Kennedy,Lyndon B. Johnson,red
Who was the 33rd President of the United States?,Dwight D. Eisenhower,John F. Kennedy,Harry S. Truman,Lyndon B. Johnson,red
Who was the 34th President of the United States?,John F. Kennedy,Lyndon B. Johnson,Richard Nixon,Gerald Ford,red
Who was the 35th President of the United States?,Lyndon B. Johnson,Richard Nixon,John F. Kennedy,Gerald Ford,red
Who was the 36th President of the United States?,Richard Nixon,Gerald Ford,Jimmy Carter,Ronald Reagan,red
Who was the 37th President of the United States?,Gerald Ford,Jimmy Carter,Richard Nixon,Ronald Reagan,red
Who was the 38th President of the United States?,Jimmy Carter,Ronald Reagan,George H. W. Bush,Bill Clinton,red
Who was the 39th President of the United States?,Ronald Reagan,George H. W. Bush,Jimmy Carter,Bill Clinton,red
Who was the 40th President of the United States?,George H. W. Bush,Bill Clinton,George W. Bush,Barack Obama,red
Who was the 41st President of the United States?,Bill Clinton,George W. Bush,Barack Obama,George H. W. Bush,yellow
Who was the 42nd President of the United States?,George W. Bush,Barack Obama,Bill Clinton,Donald Trump,green
Who was the 43rd President of the United States?,Barack Obama,Donald Trump,Joe Biden,George W. Bush,yellow
Who was the 44th President of the United States?,Donald Trump,Joe Biden,Barack Obama,George W. Bush,green
Who was the 45th President of the United States?,Joe Biden,Donald Trump,Barack Obama,George W. Bush,blue
Who is the 46th President of the United States?,Donald Trump,Joe Biden,Barack Obama,George W. Bush,blue
