question,red,blue,green,yellow,correct
Who was the 1st Vice President of the United States?,John Adams,Thomas Jefferson,Aaron Burr,George Clinton,red
Who was the 2nd Vice President of the United States?,Aaron Burr,John Adams,Thomas Jefferson,George Clinton,green
Who was the 3rd Vice President of the United States?,George Clinton,Aaron Burr,Elbridge Gerry,John Adams,red
Who was the 4th Vice President of the United States?,Elbridge Gerry,George Clinton,Daniel D. Tompkins,John C. Calhoun,red
Who was the 5th Vice President of the United States?,Daniel D. Tompkins,John C. Calhoun,Martin Van Buren,George Clinton,red
Who was the 6th Vice President of the United States?,John C. Calhoun,Martin Van Buren,Richard Mentor Johnson,Daniel D. Tompkins,red
Who was the 7th Vice President of the United States?,Martin Van Buren,Richard Mentor Johnson,John Tyler,Millard Fillmore,red
Who was the 8th Vice President of the United States?,Richard Mentor Johnson,John Tyler,Millard Fillmore,Andrew Johnson,red
Who was the 9th Vice President of the United States?,John Tyler,Millard Fillmore,Andrew Johnson,Schuyler Colfax,red
Who was the 10th Vice President of the United States?,Millard Fillmore,Andrew Johnson,Schuyler Colfax,Henry Wilson,red
Who was the 11th Vice President of the United States?,Andrew Johnson,Schuyler Colfax,Henry Wilson,Garret Hobart,red
Who was the 12th Vice President of the United States?,Schuyler Colfax,Henry Wilson,Garret Hobart,Theodore Roosevelt,red
Who was the 13th Vice President of the United States?,Henry Wilson,Garret Hobart,Theodore Roosevelt,Charles Fairbanks,red
Who was the 14th Vice President of the United States?,Garret Hobart,Theodore Roosevelt,Charles Fairbanks,Thomas Marshall,red
Who was the 15th Vice President of the United States?,Theodore Roosevelt,Charles Fairbanks,Thomas Marshall,Calvin Coolidge,red
Who was the 16th Vice President of the United States?,Thomas Marshall,Calvin Coolidge,Charles Dawes,Alben Barkley,red
Who was the 17th Vice President of the United States?,Calvin Coolidge,Charles Dawes,Alben Barkley,Harry S. Truman,red
Who was the 18th Vice President of the United States?,Charles Dawes,Alben Barkley,Harry S. Truman,Hubert Humphrey,red
Who was the 19th Vice President of the United States?,Alben Barkley,Harry S. Truman,Hubert Humphrey,Lyndon B. Johnson,red
Who was the 20th Vice President of the United States?,Harry S. Truman,Hubert Humphrey,Lyndon B. Johnson,Richard Nixon,red
Who was the 21st Vice President of the United States?,Hubert Humphrey,Lyndon B. Johnson,Richard Nixon,Spiro Agnew,red
Who was the 22nd Vice President of the United States?,Lyndon B. Johnson,Richard Nixon,Spiro Agnew,Gerald Ford,red
Who was the 23rd Vice President of the United States?,Richard Nixon,Spiro Agnew,Gerald Ford,Nelson Rockefeller,red
Who was the 24th Vice President of the United States?,Spiro Agnew,Gerald Ford,Nelson Rockefeller,Walter Mondale,red
Who was the 25th Vice President of the United States?,Gerald Ford,Nelson Rockefeller,Walter Mondale,George H. W. Bush,red
Who was the 26th Vice President of the United States?,Nelson Rockefeller,Walter Mondale,George H. W. Bush,Dan Quayle,red
Who was the 27th Vice President of the United States?,Walter Mondale,George H. W. Bush,Dan Quayle,Al Gore,red
Who was the 28th Vice President of the United States?,George H. W. Bush,Dan Quayle,Al Gore,Dick Cheney,red
Who was the 29th Vice President of the United States?,Dan Quayle,Al Gore,Dick Cheney,Joe Biden,red
Who was the 30th Vice President of the United States?,Al Gore,Dick Cheney,Joe Biden,Mike Pence,red
Who was the 31st Vice President of the United States?,Dick Cheney,Joe Biden,Mike Pence,Kamala Harris,red
Who was the 32nd Vice President of the United States?,Joe Biden,Mike Pence,Kamala Harris,Al Gore,red
Who was the 33rd Vice President of the United States?,Mike Pence,Kamala Harris,Joe Biden,Dick Cheney,red
Who is the 34th Vice President of the United States?,Kamala Harris,Joe Biden,Mike Pence,Al Gore,red
