question,red,blue,green,yellow,correct
What is the capital of France?,Berlin,Madrid,Paris,Rome,green
What is the capital of Japan?,Seoul,Tokyo,Beijing,Bangkok,blue
What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,green
What is the capital of Canada?,Toronto,Vancouver,Ottawa,Montreal,green
What is the capital of Brazil?,Rio de Janeiro,Brasília,São Paulo,Belo Horizonte,blue
What is the capital of Germany?,Munich,Berlin,Frankfurt,Hamburg,blue
What is the capital of Italy?,Milan,Venice,Rome,Naples,green
What is the capital of Spain?,Barcelona,Seville,Madrid,Valencia,green
What is the capital of the United Kingdom?,Manchester,Birmingham,London,Liverpool,green
What is the capital of the United States?,New York,Washington D.C.,Los Angeles,Chicago,blue
What is the capital of China?,Shanghai,Guangzhou,Beijing,Shenzhen,green
What is the capital of Russia?,Saint Petersburg,Moscow,Kazan,Sochi,blue
What is the capital of South Korea?,Busan,Incheon,Seoul,Daegu,green
What is the capital of India?,Mumbai,New Delhi,Bangalore,Chennai,blue
What is the capital of Thailand?,Phuket,Chiang Mai,Bangkok,Pattaya,green
What is the capital of Vietnam?,Ho Chi Minh City,Da Nang,Hanoi,Hai Phong,green
What is the capital of Egypt?,Alexandria,Giza,Cairo,Luxor,green
What is the capital of Turkey?,Istanbul,Izmir,Ankara,Bursa,green
What is the capital of Argentina?,Rosario,Córdoba,Buenos Aires,Mendoza,green
What is the capital of South Africa?,Cape Town,Johannesburg,Pretoria,Durban,green
