question,red,blue,green,yellow,correct
Who won the Premier League in the 1992-93 season?,Manchester United,Arsenal,Chelsea,Blackburn Rovers,red
Who won the Premier League in the 1993-94 season?,Manchester United,Newcastle United,Arsenal,Blackburn Rovers,red
Who won the Premier League in the 1994-95 season?,Manchester United,Arsenal,Blackburn Rovers,Chelsea,green
Who won the Premier League in the 1995-96 season?,Manchester United,Newcastle United,Arsenal,Liverpool,red
Who won the Premier League in the 1996-97 season?,Manchester United,Arsenal,Newcastle United,Chelsea,red
Who won the Premier League in the 1997-98 season?,Manchester United,Arsenal,Chelsea,Liverpool,blue
Who won the Premier League in the 1998-99 season?,Manchester United,Arsenal,Chelsea,Aston Villa,red
Who won the Premier League in the 1999-2000 season?,Manchester United,Arsenal,Leeds United,Chelsea,red
Who won the Premier League in the 2000-01 season?,Manchester United,Arsenal,Liverpool,Chelsea,red
Who won the Premier League in the 2001-02 season?,Manchester United,Arsenal,Liverpool,Newcastle United,blue
Who won the Premier League in the 2002-03 season?,Manchester United,Arsenal,Chelsea,Newcastle United,red
Who won the Premier League in the 2003-04 season?,Manchester United,Arsenal,Chelsea,Liverpool,blue
Who won the Premier League in the 2004-05 season?,Chelsea,Arsenal,Manchester United,Liverpool,red
Who won the Premier League in the 2005-06 season?,Chelsea,Manchester United,Arsenal,Liverpool,red
Who won the Premier League in the 2006-07 season?,Manchester United,Chelsea,Arsenal,Liverpool,red
Who won the Premier League in the 2007-08 season?,Manchester United,Chelsea,Arsenal,Liverpool,red
Who won the Premier League in the 2008-09 season?,Manchester United,Chelsea,Liverpool,Arsenal,red
Who won the Premier League in the 2009-10 season?,Chelsea,Manchester United,Arsenal,Manchester City,red
Who won the Premier League in the 2010-11 season?,Manchester United,Chelsea,Manchester City,Arsenal,red
Who won the Premier League in the 2011-12 season?,Manchester City,Manchester United,Chelsea,Arsenal,red
Who won the Premier League in the 2012-13 season?,Manchester United,Manchester City,Chelsea,Arsenal,red
Who won the Premier League in the 2013-14 season?,Manchester City,Liverpool,Chelsea,Arsenal,red
Who won the Premier League in the 2014-15 season?,Chelsea,Manchester City,Arsenal,Manchester United,red
Who won the Premier League in the 2015-16 season?,Leicester City,Arsenal,Tottenham Hotspur,Chelsea,red
Who won the Premier League in the 2016-17 season?,Chelsea,Tottenham Hotspur,Manchester City,Arsenal,red
Who won the Premier League in the 2017-18 season?,Manchester City,Manchester United,Liverpool,Chelsea,red
Who won the Premier League in the 2018-19 season?,Manchester City,Liverpool,Chelsea,Tottenham Hotspur,red
Who won the Premier League in the 2019-20 season?,Liverpool,Manchester City,Chelsea,Manchester United,red
Who won the Premier League in the 2020-21 season?,Manchester City,Manchester United,Chelsea,Liverpool,red
Who won the Premier League in the 2021-22 season?,Manchester City,Liverpool,Chelsea,Tottenham Hotspur,red
Who won the Premier League in the 2022-23 season?,Manchester City,Arsenal,Manchester United,Newcastle United,red
