question,red,blue,green,yellow,correct
Who won the UEFA Champions League in the 1992–93 season?,AC Milan,Marseille,Barcelona,Juventus,blue
Who won the UEFA Champions League in the 1993–94 season?,AC Milan,Barcelona,Juventus,Bayern Munich,red
Who won the UEFA Champions League in the 1994–95 season?,Ajax,AC Milan,Benfica,Juventus,red
Who won the UEFA Champions League in the 1995–96 season?,Ajax,Juventus,Borussia Dortmund,AC Milan,blue
Who won the UEFA Champions League in the 1996–97 season?,Juventus,Borussia Dortmund,Real Madrid,Ajax,blue
Who won the UEFA Champions League in the 1997–98 season?,Real Madrid,Juventus,Bayern Munich,Manchester United,red
Who won the UEFA Champions League in the 1998–99 season?,Manchester United,Bayern Munich,Juventus,Barcelona,red
Who won the UEFA Champions League in the 1999–2000 season?,Real Madrid,Valencia,AC Milan,Bayern Munich,red
Who won the UEFA Champions League in the 2000–01 season?,Bayern Munich,Valencia,Real Madrid,Manchester United,red
Who won the UEFA Champions League in the 2001–02 season?,Real Madrid,Bayer Leverkusen,Manchester United,Bayern Munich,red
Who won the UEFA Champions League in the 2002–03 season?,AC Milan,Juventus,Real Madrid,Ajax,red
Who won the UEFA Champions League in the 2003–04 season?,Porto,Monaco,AC Milan,Real Madrid,red
Who won the UEFA Champions League in the 2004–05 season?,Liverpool,AC Milan,Chelsea,Juventus,red
Who won the UEFA Champions League in the 2005–06 season?,Barcelona,Arsenal,AC Milan,Real Madrid,red
Who won the UEFA Champions League in the 2006–07 season?,AC Milan,Liverpool,Manchester United,Chelsea,red
Who won the UEFA Champions League in the 2007–08 season?,Manchester United,Chelsea,Barcelona,AC Milan,red
Who won the UEFA Champions League in the 2008–09 season?,Barcelona,Manchester United,Chelsea,Arsenal,red
Who won the UEFA Champions League in the 2009–10 season?,Inter Milan,Bayern Munich,Barcelona,Real Madrid,red
Who won the UEFA Champions League in the 2010–11 season?,Barcelona,Manchester United,Real Madrid,Chelsea,red
Who won the UEFA Champions League in the 2011–12 season?,Chelsea,Bayern Munich,Barcelona,Real Madrid,red
Who won the UEFA Champions League in the 2012–13 season?,Bayern Munich,Borussia Dortmund,Real Madrid,Barcelona,red
Who won the UEFA Champions League in the 2013–14 season?,Real Madrid,Atletico Madrid,Bayern Munich,Chelsea,red
Who won the UEFA Champions League in the 2014–15 season?,Barcelona,Juventus,Real Madrid,Bayern Munich,red
Who won the UEFA Champions League in the 2015–16 season?,Real Madrid,Atletico Madrid,Bayern Munich,Juventus,red
Who won the UEFA Champions League in the 2016–17 season?,Real Madrid,Juventus,Monaco,Atletico Madrid,red
Who won the UEFA Champions League in the 2017–18 season?,Real Madrid,Liverpool,Bayern Munich,Roma,red
Who won the UEFA Champions League in the 2018–19 season?,Liverpool,Tottenham Hotspur,Barcelona,Ajax,red
Who won the UEFA Champions League in the 2019–20 season?,Bayern Munich,Paris Saint-Germain,Barcelona,Manchester City,red
Who won the UEFA Champions League in the 2020–21 season?,Chelsea,Manchester City,Real Madrid,Paris Saint-Germain,red
Who won the UEFA Champions League in the 2021–22 season?,Real Madrid,Liverpool,Manchester City,Chelsea,red
Who won the UEFA Champions League in the 2022–23 season?,Manchester City,Inter Milan,Real Madrid,Bayern Munich,red
