question,red,blue,green,yellow,correct
Who won the 1930 FIFA World Cup?,Brazil,Argentina,Uruguay,Italy,green
Who won the 1934 FIFA World Cup?,Italy,Czechoslovakia,Germany,Argentina,red
Who won the 1938 FIFA World Cup?,Hungary,Brazil,Italy,France,green
Who won the 1950 FIFA World Cup?,Brazil,Uruguay,Spain,Italy,yellow
Who won the 1954 FIFA World Cup?,Hungary,Germany,Brazil,Uruguay,blue
Who won the 1958 FIFA World Cup?,Brazil,Sweden,France,Germany,red
Who won the 1962 FIFA World Cup?,Chile,Brazil,Yugoslavia,Czechoslovakia,blue
Who won the 1966 FIFA World Cup?,Germany,Portugal,Italy,England,yellow
Who won the 1970 FIFA World Cup?,Italy,West Germany,Brazil,Uruguay,green
Who won the 1974 FIFA World Cup?,Brazil,Netherlands,Italy,West Germany,yellow
Who won the 1978 FIFA World Cup?,Netherlands,Italy,Brazil,Argentina,yellow
Who won the 1982 FIFA World Cup?,Germany,Italy,Brazil,France,blue
Who won the 1986 FIFA World Cup?,Brazil,Argentina,Germany,France,blue
Who won the 1990 FIFA World Cup?,Argentina,Italy,West Germany,Brazil,green
Who won the 1994 FIFA World Cup?,Italy,Brazil,Germany,Sweden,blue
Who won the 1998 FIFA World Cup?,Brazil,Croatia,France,Italy,green
Who won the 2002 FIFA World Cup?,Germany,Turkey,South Korea,Brazil,yellow
Who won the 2006 FIFA World Cup?,France,Portugal,Germany,Italy,yellow
Who won the 2010 FIFA World Cup?,Netherlands,Germany,Spain,Uruguay,green
Who won the 2014 FIFA World Cup?,Brazil,Argentina,Germany,Netherlands,green
Who won the 2018 FIFA World Cup?,Croatia,Belgium,France,England,green
Who won the 2022 FIFA World Cup?,France,Croatia,Argentina,Morocco,green
