question,red,blue,green,yellow,correct
Who won the French Open (Men's Singles) in 1968?,Rod Laver,Ken Rosewall,Ilie Năstase,Manuel Santana,red
Who won the French Open (Men's Singles) in 1974?,Björn Borg,Guillermo Vilas,Ilie Năstase,Jimmy Connors,red
Who won the French Open (Men's Singles) in 1983?,Ivan Lendl,Guillermo Vilas,Mats Wilander,John McEnroe,green
Who won the French Open (Men's Singles) in 1990?,Andre Agassi,Ivan Lendl,Andrés Gómez,Stefan Edberg,green
Who won the French Open (Men's Singles) in 2000?,Andre Agassi,Gustavo Kuerten,Marat Safin,Carlos Moyá,blue
Who won the French Open (Men's Singles) in 2005?,Roger Federer,Rafael Nadal,Juan Carlos Ferrero,Gastón Gaudio,blue
Who won the French Open (Men's Singles) in 2008?,Rafael Nadal,Roger Federer,Novak Djokovic,Andy Murray,red
Who won the French Open (Men's Singles) in 2015?,Stan Wawrinka,Novak Djokovic,Rafael Nadal,Andy Murray,red
Who won the French Open (Men's Singles) in 2020?,Rafael Nadal,Novak Djokovic,Dominic Thiem,Alexander Zverev,red
Who won the French Open (Men's Singles) in 2023?,Novak Djokovic,Carlos Alcaraz,Rafael Nadal,Casper Ruud,red
