question,red,blue,green,yellow,correct
Who won Wimbledon (Men's Singles) in 1969?,Rod Laver,Ken Rosewall,John Newcombe,Stan Smith,red
Who won Wimbledon (Men's Singles) in 1976?,Björn Borg,Jimmy Connors,John McEnroe,Arthur Ashe,red
Who won Wimbledon (Men's Singles) in 1980?,Björn Borg,John McEnroe,Jimmy Connors,Ivan Lendl,red
Who won Wimbledon (Men's Singles) in 1985?,Boris Becker,Stefan Edberg,John McEnroe,Ivan Lendl,red
Who won Wimbledon (Men's Singles) in 1990?,Ivan Lendl,Stefan Edberg,Boris Becker,Pete Sampras,yellow
Who won Wimbledon (Men's Singles) in 1995?,Andre Agassi,Pete Sampras,Boris Becker,Michael Chang,blue
Who won Wimbledon (Men's Singles) in 2001?,Pete Sampras,Andre Agassi,Lleyton Hewitt,Patrick Rafter,red
Who won Wimbledon (Men's Singles) in 2004?,Andy Roddick,Roger Federer,Lleyton Hewitt,Marat Safin,blue
Who won Wimbledon (Men's Singles) in 2008?,Roger Federer,Rafael Nadal,Novak Djokovic,Andy Murray,yellow
Who won Wimbledon (Men's Singles) in 2012?,Andy Murray,Roger Federer,Novak Djokovic,Rafael Nadal,blue
Who won Wimbledon (Men's Singles) in 2016?,Andy Murray,Novak Djokovic,Roger Federer,Stan Wawrinka,red
Who won Wimbledon (Men's Singles) in 2019?,Novak Djokovic,Roger Federer,Rafael Nadal,Andy Murray,red
Who won Wimbledon (Men's Singles) in 2023?,Novak Djokovic,Carlos Alcaraz,Daniil Medvedev,Nick Kyrgios,blue
